水泥成分,,,,,水泥强度,单方水泥用量,用水量,水灰比,,,粗骨料,,细骨料,粉煤灰成分,,,,,一级粉煤灰用量,二级粉煤灰用量,矿渣成分,,,,,矿渣用量,石灰石粉,硅灰比表面积,硅灰用量,28天强度,碳化开始时间,碳化持续时间,碳化深度
C-Ca,C-Si,C-Al,C-Fe,C-Mg,strength,cement,water,ratio,waterloss,gasml,bigagregate,mosu_sm,smallagregate,FA-Ca,FA-Si,FA-Al,FA-Fe,FA-Mg,FA-1,FA-2,Slag-Ca,Slag-Si,Slag-Al,Slag-Fe,Slag-Mg,Slag,Ca-powder,Si-surface,Si-powder,strength28d,begintime,holdtime,deepth
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,202.5,162,0.8,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,247.5,0,,,48.6,28,14,11.36
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,112.5,162,1.44,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,337.5,0,,,49.7,28,14,10.06
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,382.5,162,0.42,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,67.5,45,,,45.9,28,14,14.39
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,292.5,162,0.55,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,157.5,45,,,47.4,28,14,13.72
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,202.5,162,0.8,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,247.5,45,,,38.7,28,14,16.91
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,112.5,162,1.44,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,337.5,45,,,40.1,28,14,15.88
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,450,162,0.36,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,0,0,,,42.5,28,28,6.39
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,382.5,162,0.42,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,67.5,0,,,51.3,28,28,9.81
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,292.5,162,0.55,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,157.5,0,,,53.3,28,28,8.98
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,202.5,162,0.8,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,247.5,0,,,48.6,28,28,15.44
