水泥成分,,,,,水泥强度,单方水泥用量,用水量,水灰比,,,粗骨料,,细骨料,粉煤灰成分,,,,,一级粉煤灰用量,二级粉煤灰用量,矿渣成分,,,,,矿渣用量,石灰石粉,硅灰比表面积,硅灰用量,28天强度,碳化开始时间,碳化持续时间,碳化深度
C-Ca,C-Si,C-Al,C-Fe,C-Mg,strength,cement,water,ratio,waterloss,gasml,bigagregate,mosu_sm,smallagregate,FA-Ca,FA-Si,FA-Al,FA-Fe,FA-Mg,FA-1,FA-2,Slag-Ca,Slag-Si,Slag-Al,Slag-Fe,Slag-Mg,Slag,Ca-powder,Si-surface,Si-powder,strength28d,begintime,holdtime,deepth
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,382.5,162,0.42,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,67.5,0,,,51.3,28,7,5.96
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,292.5,162,0.55,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,157.5,0,,,53.3,28,7,5.01
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,202.5,162,0.8,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,247.5,0,,,48.6,28,7,8.12
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,112.5,162,1.44,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,337.5,0,,,49.7,28,7,7.17
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,382.5,162,0.42,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,67.5,45,,,45.9,28,7,10.68
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,292.5,162,0.55,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,157.5,45,,,47.4,28,7,9.73
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,202.5,162,0.8,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,247.5,45,,,38.7,28,7,14.06
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,112.5,162,1.44,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,337.5,45,,,40.1,28,7,12.48
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,450,162,0.36,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,0,0,,,42.5,28,14,5.15
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,382.5,162,0.42,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,67.5,0,,,51.3,28,14,8.38
61.24,23.14,6.58,2.69,1.52,P.O 42.5 ordinary Portland cement,292.5,162,0.55,,,1167,,556,,,,,,,,43.28,32.6,12.28,1.28,8.51,157.5,0,,,53.3,28,14,7.55
